epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
61,73963.2,0.39141,0.47209,0.25112,0.85493,0,0.99321,0.98958,0.99335,0.79903,0.96768,0.96528,0.9616,0.80573,0.41603,0.28013,0.23827,0.84214,0,0.000580174,0.000580174,0.000580174
62,75171.8,0.38467,0.47477,0.24612,0.85971,0,0.99152,0.98611,0.99322,0.80566,0.97705,0.97222,0.97313,0.81526,0.39834,0.24592,0.23068,0.84596,0,0.000566027,0.000566027,0.000566027
63,76385.5,0.38516,0.47646,0.24937,0.86556,0,0.98867,0.99222,0.99456,0.81205,0.97105,0.975,0.97158,0.78184,0.39277,0.24344,0.21446,0.84394,0,0.00055188,0.00055188,0.00055188
64,77592.1,0.38635,0.44764,0.24992,0.85973,0,0.99021,0.98611,0.99106,0.81033,0.95766,0.96244,0.95511,0.79052,0.41738,0.2616,0.22506,0.84483,0,0.000537733,0.000537733,0.000537733
65,78799.5,0.38026,0.45271,0.2408,0.86071,0,0.98837,0.98611,0.99334,0.81662,0.95828,0.95833,0.95939,0.78788,0.40351,0.25854,0.24211,0.84276,0,0.000523586,0.000523586,0.000523586
66,80008.7,0.37837,0.47,0.24381,0.86259,0,0.99263,0.98916,0.9942,0.81942,0.96387,0.96171,0.95722,0.78485,0.41038,0.264,0.23911,0.84622,0,0.000509438,0.000509438,0.000509438
67,81218.6,0.38651,0.46685,0.24219,0.85945,0,0.98739,0.98611,0.99373,0.80281,0.95523,0.95486,0.94614,0.78897,0.39806,0.26004,0.21273,0.84551,0,0.000495291,0.000495291,0.000495291
68,82430.8,0.37869,0.45461,0.24584,0.85433,0,0.98975,0.98569,0.9895,0.80997,0.95735,0.95896,0.95001,0.76673,0.40763,0.26139,0.2199,0.84629,0,0.000481144,0.000481144,0.000481144
69,83635.8,0.36667,0.44334,0.23641,0.85181,0,0.98886,0.99306,0.99272,0.81832,0.96541,0.96875,0.95708,0.79111,0.40017,0.24696,0.218,0.84502,0,0.000466997,0.000466997,0.000466997
70,84846.5,0.36646,0.48225,0.23063,0.85542,0,0.98936,0.9905,0.99373,0.81771,0.9646,0.96625,0.9633,0.78991,0.37656,0.23781,0.19905,0.84439,0,0.00045285,0.00045285,0.00045285
71,86054.4,0.40741,0.53016,0.27448,0.86618,0,0.98815,0.99306,0.99345,0.81734,0.95299,0.95833,0.93926,0.76172,0.38131,0.30377,0.19664,0.84186,0,0.000438703,0.000438703,0.000438703
72,87264.5,0.36511,0.46142,0.22987,0.85167,0,0.9856,0.99306,0.99354,0.82913,0.96784,0.97569,0.97272,0.79364,0.35976,0.26844,0.19382,0.83998,0,0.000424556,0.000424556,0.000424556
73,88473.4,0.3712,0.47428,0.23355,0.85641,0,0.9908,0.99306,0.99091,0.80819,0.95891,0.96181,0.94586,0.7805,0.41304,0.26903,0.22749,0.84287,0,0.000410409,0.000410409,0.000410409
74,89682.9,0.36319,0.47712,0.23157,0.85552,0,0.98059,0.99306,0.99401,0.82003,0.95283,0.96528,0.95227,0.78094,0.37667,0.24846,0.19942,0.83997,0,0.000396262,0.000396262,0.000396262
75,90892.8,0.34564,0.43749,0.2161,0.85402,0,0.98705,0.98441,0.99109,0.81847,0.95548,0.96181,0.9521,0.77248,0.37023,0.2514,0.20622,0.83918,0,0.000382115,0.000382115,0.000382115
76,92102.7,0.35811,0.43009,0.22324,0.85281,0,0.98532,0.98264,0.98398,0.81411,0.95622,0.95486,0.94982,0.75929,0.36713,0.26861,0.19623,0.8377,0,0.000367967,0.000367967,0.000367967
77,93310.4,0.3518,0.48655,0.22268,0.84996,0,0.98633,0.98958,0.99327,0.81922,0.94395,0.94792,0.93105,0.76371,0.38108,0.26494,0.21111,0.84029,0,0.00035382,0.00035382,0.00035382
78,94524.7,0.35765,0.44535,0.22502,0.85456,0,0.98871,0.98611,0.99076,0.82003,0.95869,0.95833,0.95421,0.77927,0.37926,0.25319,0.20351,0.83912,0,0.000339673,0.000339673,0.000339673
79,95735.5,0.34703,0.46026,0.21455,0.85244,0,0.9934,0.99306,0.99109,0.82727,0.96107,0.96181,0.94547,0.78186,0.37999,0.24534,0.20209,0.8415,0,0.000325526,0.000325526,0.000325526
80,96942.4,0.34702,0.4475,0.2143,0.85359,0,0.99,0.9916,0.99409,0.81215,0.96531,0.96746,0.9592,0.79871,0.39456,0.24846,0.20325,0.84328,0,0.000311379,0.000311379,0.000311379
81,98152,0.35581,0.47793,0.21965,0.85178,0,0.99018,0.99116,0.99366,0.8312,0.95495,0.95803,0.94263,0.77723,0.36683,0.24369,0.18934,0.83954,0,0.000297232,0.000297232,0.000297232
82,99362.4,0.34491,0.44588,0.21222,0.84755,0,0.98849,0.98958,0.99338,0.82571,0.95983,0.96181,0.94782,0.77551,0.36407,0.25433,0.18747,0.83923,0,0.000283085,0.000283085,0.000283085
83,100572,0.34153,0.42986,0.21399,0.84961,0,0.98678,0.99306,0.99385,0.82123,0.95901,0.96544,0.94877,0.78732,0.37229,0.23416,0.18673,0.83913,0,0.000268938,0.000268938,0.000268938
84,101783,0.33597,0.43348,0.21001,0.85398,0,0.99331,0.99188,0.99156,0.81166,0.95414,0.95374,0.93161,0.77319,0.38463,0.24768,0.19456,0.84192,0,0.000254791,0.000254791,0.000254791
85,102993,0.33875,0.43692,0.20523,0.84615,0,0.9903,0.99136,0.99009,0.81443,0.95853,0.96159,0.94409,0.77432,0.36082,0.25163,0.18247,0.8396,0,0.000240644,0.000240644,0.000240644
86,104200,0.33236,0.45515,0.2076,0.849,0,0.99228,0.99306,0.99029,0.82622,0.96038,0.96181,0.94709,0.77361,0.37319,0.2548,0.19955,0.83912,0,0.000226497,0.000226497,0.000226497
87,105407,0.33982,0.44913,0.20567,0.85161,0,0.99151,0.99306,0.98833,0.82282,0.95957,0.96181,0.94643,0.76931,0.37218,0.25525,0.18446,0.83836,0,0.000212349,0.000212349,0.000212349
88,106618,0.33359,0.43608,0.20245,0.8429,0,0.99334,0.99306,0.99053,0.81765,0.94692,0.94792,0.92602,0.77104,0.36088,0.23481,0.17686,0.83735,0,0.000198202,0.000198202,0.000198202
89,107824,0.33354,0.43207,0.20306,0.84799,0,0.99026,0.99306,0.99093,0.81846,0.95865,0.96181,0.94642,0.77596,0.38154,0.23423,0.19546,0.8426,0,0.000184055,0.000184055,0.000184055
90,109034,0.32516,0.43763,0.19791,0.85175,0,0.99344,0.99306,0.99075,0.8185,0.96496,0.96528,0.95542,0.7828,0.37296,0.23368,0.18639,0.84131,0,0.000169908,0.000169908,0.000169908
