epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
79,207021,0.29284,0.39838,0.20181,0.85341,0,0.98395,0.99046,0.99249,0.96641,0.98395,0.99046,0.99249,0.95098,0.2339,0.35555,0.1542,0.79704,0,0.000379743,0.000379743,0.000379743
80,209624,0.29194,0.3981,0.19968,0.85295,0,0.98409,0.99594,0.99377,0.9685,0.98409,0.99594,0.99377,0.94893,0.23625,0.35183,0.15171,0.7953,0,0.000363239,0.000363239,0.000363239
81,212222,0.28768,0.39804,0.19996,0.84979,0,0.98082,1,0.99259,0.9669,0.98082,1,0.99259,0.95058,0.23775,0.35614,0.15774,0.79711,0,0.000346736,0.000346736,0.000346736
82,214819,0.29081,0.38736,0.19911,0.85355,0,0.98183,0.99992,0.99141,0.96641,0.98183,0.99992,0.99141,0.94495,0.23382,0.35396,0.15838,0.79555,0,0.000330233,0.000330233,0.000330233
83,217419,0.29773,0.39158,0.20053,0.85353,0,0.98066,1,0.9932,0.96345,0.98066,1,0.9932,0.95215,0.24612,0.35352,0.1536,0.79849,0,0.000313729,0.000313729,0.000313729
84,220022,0.28445,0.37726,0.19399,0.85328,0,0.98095,0.99695,0.99131,0.96505,0.98095,0.99695,0.99131,0.94525,0.24166,0.34871,0.16097,0.79757,0,0.000297226,0.000297226,0.000297226
85,222622,0.28474,0.39329,0.19378,0.85466,0,0.98068,0.99695,0.99171,0.96492,0.98068,0.99695,0.99171,0.94946,0.23033,0.34398,0.15156,0.79465,0,0.000280723,0.000280723,0.000280723
86,225225,0.277,0.38477,0.18918,0.85284,0,0.98451,0.98931,0.99321,0.96615,0.98451,0.98931,0.99321,0.9458,0.23093,0.34472,0.15777,0.79409,0,0.00026422,0.00026422,0.00026422
87,227836,0.27605,0.37307,0.19122,0.85134,0,0.98487,0.99085,0.99237,0.96735,0.98487,0.99085,0.99237,0.94849,0.2241,0.34223,0.14913,0.79252,0,0.000247716,0.000247716,0.000247716
88,230459,0.27796,0.38104,0.19015,0.84728,0,0.98447,0.99364,0.99275,0.96777,0.98447,0.99364,0.99275,0.95101,0.22647,0.34502,0.14943,0.79454,0,0.000231213,0.000231213,0.000231213
89,233078,0.27111,0.37408,0.18523,0.84734,0,0.98244,0.99815,0.99292,0.96694,0.98244,0.99815,0.99292,0.95371,0.23102,0.34225,0.15343,0.79297,0,0.00021471,0.00021471,0.00021471
90,235708,0.28084,0.3917,0.18968,0.84874,0,0.98571,0.9939,0.99368,0.96864,0.98571,0.9939,0.99368,0.95055,0.22415,0.34677,0.15173,0.79345,0,0.000198206,0.000198206,0.000198206
91,238272,0.27012,0.40655,0.1826,0.82088,0,0.98017,0.9991,0.99437,0.96648,0.98017,0.9991,0.99437,0.95053,0.23044,0.35139,0.14934,0.79369,0,0.000181703,0.000181703,0.000181703
92,240826,0.25737,0.37332,0.16232,0.81349,0,0.9816,0.99865,0.99132,0.96556,0.9816,0.99865,0.99132,0.94643,0.22487,0.34779,0.15277,0.79286,0,0.0001652,0.0001652,0.0001652
93,243381,0.25316,0.37967,0.16396,0.81429,0,0.98297,0.9967,0.99001,0.96374,0.98297,0.9967,0.99001,0.94523,0.22471,0.35654,0.15268,0.79267,0,0.000148696,0.000148696,0.000148696
94,245937,0.25234,0.37453,0.16449,0.8126,0,0.98406,0.9969,0.99118,0.96717,0.98406,0.9969,0.99118,0.94585,0.22231,0.34904,0.1446,0.79215,0,0.000132193,0.000132193,0.000132193
95,248492,0.25474,0.3778,0.16358,0.81348,0,0.98387,0.99695,0.99221,0.96891,0.98387,0.99695,0.99221,0.9475,0.22234,0.35756,0.14639,0.79231,0,0.00011569,0.00011569,0.00011569
96,251047,0.24865,0.38192,0.16193,0.8095,0,0.98347,0.99953,0.99203,0.96692,0.98347,0.99953,0.99203,0.94406,0.22806,0.349,0.14554,0.79471,0,9.91865e-05,9.91865e-05,9.91865e-05
97,253604,0.24989,0.38152,0.15942,0.8122,0,0.9844,0.99695,0.99188,0.96568,0.9844,0.99695,0.99188,0.9457,0.22345,0.3493,0.14767,0.79304,0,8.26832e-05,8.26832e-05,8.26832e-05
98,256160,0.2419,0.36938,0.15403,0.81079,0,0.98307,0.99661,0.9933,0.97013,0.98307,0.99661,0.9933,0.94738,0.21983,0.3504,0.14284,0.79156,0,6.61799e-05,6.61799e-05,6.61799e-05
99,258722,0.24119,0.36897,0.15169,0.80738,0,0.98342,0.99665,0.99299,0.96839,0.98342,0.99665,0.99299,0.94674,0.22508,0.35384,0.14559,0.79236,0,4.96766e-05,4.96766e-05,4.96766e-05
100,261293,0.23953,0.36816,0.15268,0.81159,0,0.98399,0.99365,0.99292,0.96927,0.98399,0.99365,0.99292,0.94781,0.21883,0.35045,0.14424,0.79159,0,3.31733e-05,3.31733e-05,3.31733e-05
